# DERIVED, not captured. M20's residual re-integration.
# source: docs/rangetest/data/2026-09-05-survey-campaign-r11.csv
# regenerate: python3 tools/rangetest/survey_reintegrate.py <source> --out <this file>
# envelope A rows are single 125 kHz bins; envelope B rows are 500 kHz channels on the US915 grid.
# floor/mean are power sums over the measured bins scaled to the full channel width; peak is the max member bin.
# COVERAGE: the survey measured 125 kHz every 200 kHz, so 37.5% of the band was never looked at.
site_name,envelope,grid,centre_hz,width_hz,n_bins,measured_hz,coverage,floor_dbm,mean_dbm,peak_dbm,peak_bin_hz,min_passes
irrigation-pump,A,bin-125k,917800000,125000,1,125000,1.000,-116.0,-114.9,-113.0,917800000,71
irrigation-pump,A,bin-125k,918000000,125000,1,125000,1.000,-116.0,-114.9,-114.0,918000000,71
irrigation-pump,A,bin-125k,918200000,125000,1,125000,1.000,-116.0,-114.9,-113.0,918200000,71
irrigation-pump,A,bin-125k,918400000,125000,1,125000,1.000,-116.0,-114.9,-114.0,918400000,71
irrigation-pump,A,bin-125k,918600000,125000,1,125000,1.000,-116.0,-114.8,-114.0,918600000,71
irrigation-pump,A,bin-125k,918800000,125000,1,125000,1.000,-116.0,-114.9,-114.0,918800000,71
irrigation-pump,A,bin-125k,919000000,125000,1,125000,1.000,-116.0,-114.9,-114.0,919000000,71
irrigation-pump,A,bin-125k,919200000,125000,1,125000,1.000,-116.0,-114.9,-114.0,919200000,71
irrigation-pump,A,bin-125k,919400000,125000,1,125000,1.000,-116.0,-114.9,-114.0,919400000,71
irrigation-pump,A,bin-125k,919600000,125000,1,125000,1.000,-116.0,-114.9,-114.0,919600000,71
irrigation-pump,A,bin-125k,919800000,125000,1,125000,1.000,-116.0,-114.9,-114.0,919800000,71
irrigation-pump,A,bin-125k,920000000,125000,1,125000,1.000,-116.0,-114.8,-111.0,920000000,71
irrigation-pump,A,bin-125k,920200000,125000,1,125000,1.000,-116.0,-114.9,-113.0,920200000,71
