# LRAN range test trace, captured 2026-09-05 15:31:50
# note: seven-site ambient survey, R11 hold discipline, ~5 min per site, 3.0dBi; site 0 bridge-house INDOORS at the bridge target location (office, NW side); other sites outdoors at node target locations
# schema: docs/rangetest/data/README.md
#
# board=heltec_wifi_lora_32_V3
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=SURVEY
#
site_index,site_name,bin_index,freq_hz,passes,samples,peak_dbm10,mean_dbm10,floor_dbm10,dropped
# site=0 bridge-house
# passes=74
# hold_discipline=1
# bins_sampled=130 of 130
# dwell_ms=30 settle_ms=4 sample_interval_ms=3
1,gatelink-gate,31,908200000,70,627,-1060,-1147,-1160,0
1,gatelink-gate,32,908400000,70,630,-1100,-1147,-1160,0
1,gatelink-gate,33,908600000,70,630,-1100,-1147,-1160,0
1,gatelink-gate,34,908800000,70,639,-1130,-1148,-1160,0
1,gatelink-gate,35,909000000,70,639,-1100,-1147,-1160,0
1,gatelink-gate,36,909200000,70,639,-1120,-1147,-1160,0
1,gatelink-gate,37,909400000,70,639,-1130,-1148,-1160,0
1,gatelink-gate,38,909600000,70,639,-1100,-1148,-1160,0
1,gatelink-gate,39,909800000,70,639,-1050,-1148,-1170,0
1,gatelink-gate,40,910000000,70,639,-1050,-1148,-1170,0
1,gatelink-gate,41,910200000,70,639,-1080,-1148,-1170,0
1,gatelink-gate,42,910400000,70,639,-970,-1148,-1170,0
1,gatelink-gate,43,910600000,70,639,-1090,-1148,-1160,0
1,gatelink-gate,44,910800000,70,639,-1080,-1148,-1160,0
1,gatelink-gate,45,911000000,70,639,-1020,-1148,-1160,0
1,gatelink-gate,46,911200000,70,639,-1030,-1147,-1170,0
1,gatelink-gate,47,911400000,70,634,-1030,-1148,-1160,0
1,gatelink-gate,48,911600000,70,638,-1080,-1148,-1160,0
1,gatelink-gate,49,911800000,70,639,-1090,-1148,-1160,0
1,gatelink-gate,50,912000000,70,639,-1060,-1137,-1150,0
1,gatelink-gate,51,912200000,70,639,-1100,-1148,-1160,0
1,gatelink-gate,52,912400000,70,639,-1030,-1147,-1160,0
1,gatelink-gate,53,912600000,70,639,-1080,-1148,-1160,0
1,gatelink-gate,54,912800000,70,639,-1130,-1148,-1160,0
1,gatelink-gate,55,913000000,70,639,-1040,-1148,-1160,0
1,gatelink-gate,56,913200000,70,639,-1030,-1147,-1170,0
1,gatelink-gate,57,913400000,70,638,-950,-1147,-1160,0
1,gatelink-gate,58,913600000,70,638,-1120,-1148,-1170,0
1,gatelink-gate,59,913800000,70,633,-920,-1148,-1160,0
1,gatelink-gate,60,914000000,70,639,-660,-1141,-1160,0
1,gatelink-gate,61,914200000,70,632,-1100,-1149,-1170,0
1,gatelink-gate,62,914400000,70,634,-1100,-1148,-1160,0
1,gatelink-gate,63,914600000,70,639,-1120,-1148,-1160,0
1,gatelink-gate,64,914800000,70,638,-1120,-1148,-1160,0
1,gatelink-gate,65,915000000,70,633,-1130,-1148,-1160,0
1,gatelink-gate,66,915200000,70,639,-1130,-1149,-1160,0
1,gatelink-gate,67,915400000,70,637,-1120,-1148,-1160,0
1,gatelink-gate,68,915600000,70,633,-1120,-1148,-1160,0
1,gatelink-gate,69,915800000,70,639,-860,-1144,-1160,0
1,gatelink-gate,70,916000000,70,638,-890,-1146,-1160,0
1,gatelink-gate,71,916200000,70,638,-1100,-1149,-1160,0
1,gatelink-gate,72,916400000,70,634,-800,-1143,-1160,0
1,gatelink-gate,73,916600000,70,639,-1130,-1149,-1170,0
1,gatelink-gate,74,916800000,70,632,-1080,-1148,-1160,0
1,gatelink-gate,75,917000000,70,633,-1120,-1149,-1160,0
1,gatelink-gate,76,917200000,70,639,-1110,-1149,-1160,0
1,gatelink-gate,77,917400000,70,638,-1130,-1149,-1160,0
1,gatelink-gate,78,917600000,70,633,-1120,-1149,-1160,0
1,gatelink-gate,79,917800000,70,639,-1080,-1149,-1160,0
1,gatelink-gate,80,918000000,70,638,-1110,-1149,-1160,0
1,gatelink-gate,81,918200000,70,634,-1090,-1149,-1160,0
1,gatelink-gate,82,918400000,70,639,-1110,-1149,-1160,0
1,gatelink-gate,83,918600000,70,636,-1120,-1149,-1160,0
1,gatelink-gate,84,918800000,70,633,-1030,-1148,-1160,0
1,gatelink-gate,85,919000000,70,639,-1010,-1148,-1160,0
1,gatelink-gate,86,919200000,70,639,-1070,-1149,-1160,0
1,gatelink-gate,87,919400000,70,639,-1040,-1148,-1160,0
1,gatelink-gate,88,919600000,70,639,-1050,-1148,-1170,0
1,gatelink-gate,89,919800000,70,639,-1030,-1148,-1160,0
1,gatelink-gate,90,920000000,70,639,-1080,-1147,-1160,0
1,gatelink-gate,91,920200000,70,639,-1090,-1149,-1160,0
1,gatelink-gate,92,920400000,70,639,-1110,-1149,-1160,0
1,gatelink-gate,93,920600000,70,639,-1020,-1149,-1160,0
1,gatelink-gate,94,920800000,70,639,-940,-1148,-1160,0
1,gatelink-gate,95,921000000,70,639,-1080,-1149,-1170,0
1,gatelink-gate,96,921200000,70,639,-1020,-1149,-1170,0
1,gatelink-gate,97,921400000,70,639,-1030,-1149,-1160,0
1,gatelink-gate,98,921600000,70,639,-1010,-1148,-1170,0
1,gatelink-gate,99,921800000,70,639,-1080,-1148,-1160,0
1,gatelink-gate,100,922000000,70,639,-1080,-1149,-1160,0
1,gatelink-gate,101,922200000,70,639,-1060,-1149,-1170,0
1,gatelink-gate,102,922400000,70,639,-1050,-1149,-1160,0
1,gatelink-gate,103,922600000,70,639,-1040,-1149,-1160,0
1,gatelink-gate,104,922800000,70,639,-1120,-1149,-1160,0
1,gatelink-gate,105,923000000,70,639,-1080,-1149,-1160,0
1,gatelink-gate,106,923200000,70,639,-1100,-1149,-1170,0
1,gatelink-gate,107,923400000,70,639,-1040,-1149,-1160,0
1,gatelink-gate,108,923600000,70,639,-1030,-1148,-1160,0
1,gatelink-gate,109,923800000,70,639,-1040,-1149,-1160,0
1,gatelink-gate,110,924000000,70,639,-1050,-1150,-1160,0
1,gatelink-gate,111,924200000,70,639,-1020,-1149,-1160,0
1,gatelink-gate,112,924400000,70,639,-1080,-1149,-1160,0
1,gatelink-gate,113,924600000,70,639,-1080,-1150,-1160,0
